node,label,domain,wave1_column,wave2_column
ADIN,AI chatbot health-advice adoption intention,Outcome,t1_ai_chatbot_health_advice_adoption_intention,t2_ai_chatbot_health_advice_adoption_intention
GAUF,AI chatbot use frequency,User,t1_ai_chatbot_use_frequency,t2_ai_chatbot_use_frequency
FOMO,Fear of missing out on generative AI technology,User,t1_fear_of_missing_out_on_generative_ai_technology,t2_fear_of_missing_out_on_generative_ai_technology
ACUI,AI chatbot use intensity,User,t1_ai_chatbot_use_intensity,t2_ai_chatbot_use_intensity
OAIL,Objective AI literacy,User,t1_objective_ai_literacy,t2_objective_ai_literacy
SAIL,Subjective AI literacy,User,t1_subjective_ai_literacy,t2_subjective_ai_literacy
CYB,Cyberchondria,User,t1_cyberchondria,t2_cyberchondria
LON,Loneliness,User,t1_loneliness,t2_loneliness
SANX,Social anxiety,User,t1_social_anxiety,t2_social_anxiety
CESD,Depressive symptoms,User,t1_depressive_symptoms,t2_depressive_symptoms
AIDR,Perceived AI deception risk,Agent,t1_perceived_ai_deception_risk,t2_perceived_ai_deception_risk
APS,AI-chatbot algorithmic content awareness,Agent,t1_ai_chatbot_algorithmic_content_awareness,t2_ai_chatbot_algorithmic_content_awareness
PAIS,Perceived AI sycophancy,Agent,t1_perceived_ai_sycophancy,t2_perceived_ai_sycophancy
DFC,Perceived deepfake risk,Agent,t1_perceived_deepfake_risk,t2_perceived_deepfake_risk
HALL,Perceived AI hallucination,Agent,t1_perceived_ai_hallucination,t2_perceived_ai_hallucination
AIPC,AI information privacy concern,Agent,t1_ai_information_privacy_concern,t2_ai_information_privacy_concern
PSC,Perceived chatbot performance,Agent,t1_perceived_chatbot_performance,t2_perceived_chatbot_performance
UN,Uniqueness neglect,Agent,t1_uniqueness_neglect,t2_uniqueness_neglect
ADVA,AI-directed verbal aggressiveness,Interaction,t1_ai_directed_verbal_aggressiveness,t2_ai_directed_verbal_aggressiveness
SD,Self-disclosure,Interaction,t1_self_disclosure,t2_self_disclosure
EWOM,Chatbot electronic word of mouth,Interaction,t1_chatbot_electronic_word_of_mouth,t2_chatbot_electronic_word_of_mouth
AHIE,AI health information exposure,Interaction,t1_ai_health_information_exposure,t2_ai_health_information_exposure
PFC,Problem-focused coping,Interaction,t1_problem_focused_coping,t2_problem_focused_coping
EFC,Emotion-focused coping,Interaction,t1_emotion_focused_coping,t2_emotion_focused_coping
IE,Information elaboration,Interaction,t1_information_elaboration,t2_information_elaboration
PCE,Perceived cognitive empowerment,Interaction,t1_perceived_cognitive_empowerment,t2_perceived_cognitive_empowerment
RHA,Relief of health anxiety,Interaction,t1_relief_of_health_anxiety,t2_relief_of_health_anxiety
ANG,Anger,Interaction,t1_anger,t2_anger
EDC,AI-chatbot dependence,Interaction,t1_ai_chatbot_dependence,t2_ai_chatbot_dependence
PSS,Perceived social support,Context,t1_perceived_social_support,t2_perceived_social_support
